CODIGO DE PRODUCTO;DESCRIPCION;PRECIO;LINEA
0S1614;TORNILLOTAPA;0.11;CAT
0S1615;TORNILLOTAPA;0.13;CAT
0S1616;PERNO;0.14;CAT
0S1617;PERNO;0.15;CAT
0S1618;PERNO;0.21;CAT
0S1619;PERNO;0.76;CAT
0S1620;PERNO;0.42;CAT
0S1621;PERNO;0.49;CAT
0S1623;TORNILLOTAPA;1.5;CAT
0S1624;TORNILLOTAPA;0.7;CAT
0S1625;PERNO;2.01;CAT
0S1626;TORNILLOTAPA;1.54;CAT
0S1627;TORNILLOTAPA;4.52;CAT
0S1748;PERNO;0.59;CAT
0S1756;TORNILLOTAPA;4.27;CAT
0S1850;RESORTE;15.66;CAT
0S1897;PERNO;2.39;CAT
0S1922;SEGURO;3.56;CAT
0S1973;PERNO;3.17;CAT
0S2318;PERNO;2.42;CAT
0S2388;EMPAQUETADURA;1.43;CAT
0S2414;SEGURO;2.09;CAT
0S2415;SEGURO;3.33;CAT
0T0055;PERNO;1.12;CAT
0T0065;TORNILLOTAPA;0.85;CAT
0T0102;TORNILLOTAPA;0.18;CAT
0T0200;TAPON;2.04;CAT
0T0225;EMPAQUETADURA;2.01;CAT
0T0244;PERNO;0.49;CAT
0T0251;GOLILLA;0.57;CAT
0T0284;PERNO;0.15;CAT
0T0318;TORNILLOTAPA;0.42;CAT
0T0319;PERNO;0.69;CAT
0T0320;PERNO;0.48;CAT
0T0329;SEGURO;2.93;CAT
0T0489;TORNILLOTAPA;0.71;CAT
0T0573;TORNILLOTAPA;0.7;CAT
0T0627;PERNO;0.53;CAT
0T0703;PERNO;0.27;CAT
0T0768;TORNILLOTAPA;0.63;CAT
0T0772;PERNO;0.56;CAT
0T0789;PASADOR;7.31;CAT
0T0840;PERNO;0.63;CAT
0T0856;PERNO;2.62;CAT
0T0883;GOLILLA;0.25;CAT
0T0887;TUERCA;0.78;CAT
0T0924;PERNO;0.46;CAT
0V0114;SEGURO;0.19;CAT
0V0196;TORNILLOTAPA;0.24;CAT
0V0223;BUJE;14.23;CAT
0V0269;PERNO;8.41;CAT
0V0375;PERNO;1.47;CAT
0006321;TUERCA;13.66;CAT
0010055;BUJE;3.01;CAT
0010162;SELLO;5.04;CAT
0015452;PUNTADEEJE;211.7;CAT
0015600;ANILLO;0.37;CAT
0016285;ACOPLAMIENTO;7.01;CAT
0016286;ACOPLAMIENTO;7.72;CAT
0016287;ACOPLE;8.78;CAT
0016289;ACOPLAMIENTO;12.3;CAT
0016301;CODO;8.07;CAT
0017004;NIPLE;3.62;CAT
0017043;CODO;5.27;CAT
0019440;NIPLE;2.35;CAT
0020639;CONECTOR;1.42;CAT
0021212;CUBETA;15.03;CAT
0022264;SEGURO;0.89;CAT
0026453;CODO;7.94;CAT
0026454;NIPLE;4.73;CAT
0032143;CODO;5.78;CAT
0037501;CONO;30.15;CAT
0037764;TERMINAL;2.45;CAT
0038581;T;29.59;CAT
0039163;CODO;12.03;CAT
0041963;SELLO;1.92;CAT
0041964;SELLO;2.18;CAT
0045933;T;12.51;CAT
0046683;ADAPTADOR;3.26;CAT
0047626;NIPLE;3.77;CAT
0050469;TAZA;11.37;CAT
0050471;SOPORTE;13.73;CAT
0052150;MANGUERA;30.22;CAT
0054173;CODO;8.13;CAT
0054362;CODO;5.62;CAT
0054834;CONO;32.68;CAT
0056502;ANILLO;2.27;CAT
0057889;VALVULA;11.28;CAT
0058160;TORNILLO;1.67;CAT
0058592;SELLO;0.91;CAT
0058593;SELLO;1.83;CAT
0058639;BUJE;30.39;CAT
0060010;EMPAQUETADURA;0.35;CAT
0060210;T;10.22;CAT
0067403;RETENEDOR;1.36;CAT
0067640;SELLO;21.61;CAT
0068352;ANILLO;3.85;CAT
0068606;ANILLORETENEDOR;0.29;CAT
0068663;ANILLORETENEDOR;3.48;CAT
0068865;TAPARADIADOR;5.14;
0081902;CONORODAMIENTO;31.27;
0082103;ANILLOO;1.13;
0083214;ANILLORETENEDOR;2.23;
0092062;ANILLOO;9.31;
0093020;GOLILLA;11.61;
0093101;ANILLOAPRESION;0.2;
0093681;ANILLOAPRESION;0.19;
0094089;GOLILLA;0.6;
0094440;ADAPTADOR;7.71;
0098504;PASADOR;0.39;
1A0075;PERNO;1.86;
1A0168;TORNILLOTAPA;3.4;
1A0458;TORNILLOTAPA;1.79;
1A0621;GOLILLA;4.83;
1A0744;TORNILLO;6.63;
1A1135;PERNO;1.66;
1A1399;SEGURO;3.72;
1A1410;SEGURO;3.55;
1A1415;TUERCA;7.92;
1A1460;PERNO;0.92;
1A1593;PERNOPRISIONERO;5.64;
1A1884;RESORTE;4.31;
1A1935;TUERCA;2.39;
1A2029;PERNO;0.28;
1A2170;RESORTE;5.59;
1A2209;PERNO;0.42;
1A2223;GUIA;5.63;
1A2343;PERNO;0.25;
1A2358;TAPON;6.06;
1A2457;PASADOR;3.22;
1A2519;GOLILLA;1.66;
1A2682;SEGURO;0.25;
1A2723;EMPAQUETADURA;1.22;
1A2727;EMPAQUETADURA;1.92;
1A2812;GOLILLA;0.27;
1A3046;PERNO;3.13;
1A3103;PERNO;3.94;
1A3203;PERNO;3.51;
1A4116;RESORTE;4.76;
1A4168;TUERCA;2.6;
1A4350;PERNO;0.97;
1A4590;ANILLO;1.51;
1A4672;TAPON;2.73;
1A4749;SEGURO;6.51;
1A4790;GOLILLA;0.36;
1A4907;EMPAQUETADURA;1.43;
1A5183;PERNO;1.24;
1A5350;SEGURO;1.86;
1A5405;PERNO;3.51;
1A5576;PERNO;6.14;
1A5592;CUBIERTA;17.7;
1A5665;GOLILLA;1.34;
1A5666;TUERCA;1.62;
1A5702;SEGURO;0.44;
1A5822;PERNO;1.3;
1A5911;TUERCA;10.77;
1A5919;GUIA;4.56;
1A5964;PERNO;1.17;
1A6879;EMPAQUETADURA;1.39;
1A7615;GOLILLA;0.18;
1A7669;PERNO;3.16;
1A7676;GOLILLA;12.29;
1A8063;PERNO;2.5;
1A8285;TUERCA;0.1;
1A8537;PERNO;2.22;
1A8651;PERNO;3.16;
1A8736;EMPAQUETADURA;13.78;
1A8742;EMPAQUETADURA;4.75;
1A8912;GOLILLA;0.1;
1A9066;EMPAQUETADURA;1.7;
1A9136;PERNO;0.24;
1A9252;TERMINAL;22.29;
1A9505;TOPE;47.63;
1A9579;PERNO;0.27;
1A9919;PERNO;0.56;
1A9920;EMPAQUETADURA;1.43;
1B0581;TORNILLOTAPA;0.25;
1B0676;PASADOR;1.78;
1B0936;SELLO;11.22;
1B1293;PERNO;0.36;
1B2578;TUERCA;0.14;
1B2693;PERNO;1.79;
1B2713;TORNILLOTAPA;0.22;
1B2714;TORNILLOTAPA;0.36;
1B2716;PERNO;0.85;
1B2721;PERNO;14.34;
1B2790;TORNILLOTAPA;0.25;
1B2886;TORNILLOTAPA;1.72;
1B3057;SEGURO;4.25;
1B3573;PERNO;3.76;
1B3680;PERNO;1.51;
1B3867;RODAMIENTO;21.13;
1B3934;TAZA;73.24;
1B3937;CUBETA;71.99;
1B3953;CONO;18.46;
1B3955;CUBETA;13.99;
1B3978;CUBETA;18.9;
1B3980;CONO;25.85;
1B4038;TAZA;28.22;
1B4043;CONO;157.93;
1B4046;CONO;27.35;
1B4117;RODAMIENTO;35.93;
1B4201;TUERCA;0.1;
1B4202;TUERCA;0.13;
1B4203;TUERCA;0.18;
1B4204;TUERCA;0.21;
1B4205;TUERCA;0.27;
1B4206;TUERCA;0.59;
1B4207;TUERCA;0.87;
1B4208;TUERCA;1.41;
1B4209;TUERCA;2.27;
1B4218;GOLILLA;0.78;
1B4330;TUERCA;0.08;
1B4331;TUERCA;0.84;
1B4332;TUERCA;1.37;
1B4367;PERNO;2.1;
1B4427;TUERCA;0.08;
1B4430;TUERCA;0.25;
1B4431;TUERCA;0.36;
1B4439;TUERCA;3.36;
1B4441;TUERCA;1.31;
1B4442;TUERCA;1.21;
1B4444;TUERCA;12.82;
1B4445;TUERCA;37.55;
1B4446;RESORTE;8.45;
1B4518;TUERCA;13.52;
1B4971;ESPACIADOR;9.7;
1B5170;TAPON;10.98;
1B5174;TAPON;7.06;
1B5354;TUERCA;0.11;
1B5355;TUERCA;0.15;
1B5356;TUERCA;0.21;
1B5357;TUERCA;0.36;
1B5358;TUERCA;0.6;
1B5675;RODAMIENTO;65.02;
1B6161;SEGURO;4.85;
1B6573;CUBETA;90.6;
1B6577;CONO;524.16;
1B7182;PERNO;0.24;
1B7709;PERNO;5.58;
1B8074;GOLILLA;5.41;
1B8589;GOLILLAPRESION;0.68;
1B8701;CHAVETA;0.45;
1B8702;CHAVETA;0.45;
1B8704;CHAVETA;0.5;
1B8705;CHAVETA;0.53;
1B8706;CHAVETA;0.64;
1B8707;CHAVETA;0.69;
1B8708;CHAVETA;0.73;
1B8709;CHAVETA;0.74;
1B8710;CHAVETA;0.86;
1B8714;CHAVETA;1.18;
1B8716;CHAVETA;1.42;
1B8719;CHAVETA;1.52;
1B8722;CHAVETA;2.07;
1B8723;CHAVETA;2.5;
