CODIGO DE PRODUCTO;DESCRIPCION; PRECIO ;LINEA
9T8394;KIT-SEAL;43.35;
1654854;SELLOANILLO;6.69;
1654852;SELLOANILLO;26.39;
2277448;AIREELEMENTOF.;50.73;
2277449;AIREELEMENTOF.;34.41;
8R6552;HOSEA;96.88;
8R6549;MANGUERAARM;68.52;
8R6554;HOSEA;35.82;
8R6550;MANGUERA;96.66;
2341949;JGO.SELLOH.C;99.24;
7L6612;WIREA;35.50;
1088901;GRAPA;21.94;
8X5489;MANGA;8.38;
2146492;ENCHUFE7/16;12.71;
8Y6389;LOUVERA;24.33;
1483626;SCREWFLATH;.31;
1999012;BUJIA;160.18;
1635522;LAINA9DE3215;44.52;
1635521;LAINA9DE3270;41.57;
1225312;AGARRE;5.01;
1445385;BANDAREBORDE;621.66;
1335209;DRIVER;21.14;
8X4086;SEGUROANILLO;57.25;
1440290;CONJ.VALVULA;41.17;
3D2945;FLANGE;225.67;
8X3273;BANDA;651.12;
6G1731;RING-LOCK;112.93;
6L9691;GASKET;1.96;
4W4076;ELBOW;3.69;
2039745;SELLOANILLO;54.91;
2207191;SELLOPRENSAI;29.82;
2043506;EMPAQUETADURA;4.67;
1440620;EMPAQUETADURA;63.90;
2065988;SELLOPRENSAI;8.32;
1440621;EMPAQUETADURA;59.40;
1101168;CONJ.INTERRUPTOR;61.05;
1974185;EMPAQUETADURA;22.82;
1845290;EMPAQUETADURA;28.57;
2006410;SELLOANILLO;3.48;
1725635;SELLOANILLO;33.58;
1978120;EMPAQUETADURA;27.52;
3N2730;SELLO;13.37;
2006547;EMPAQUETADURA;39.46;
2006418;EMPAQUETADURA;5.59;
2091823;EMPAQUETADURA;15.71;
1315496;EMPAQUETADURA;16.97;
1Y7578;EMPAQUETADURA;1.14;
2037859;EMPAQUETADURA;12.39;
1919346;TRANSFORMADOR;435.09;
2072371;SENSORGP-TE;372.18;
2006555;SELLO;95.78;
1952431;GR.SENSORKN;228.99;
1883080;GR.CONTROL;629.99;
2037762;SELLOPRENSAI;11.24;
2197000;SELLOANILLO;3.09;
2078498;INTERRUP.CIRCUITO;131.27;
2078496;INTERRUP.CIRCUITO;55.10;
1862558;EMPAQUETADURA;4.79;
2249090;GR.INYECTOR;3114.67;
5T9894;SHIM;11.89;
6Y4340;BITA;124.27;
6Y4339;BITA;82.80;
4E8320;PASADOR;9.25;
2267164;CONJ.INDICADOR;37.43;
2223769;GR.BOMBAMTRG;710.27;
1647556;GRAPA;.41;
1522112;CORREAS;24.04;
1375623;CONJ.PASAMANOS;316.01;
1445399;TAPABARROSIZQU.;2451.06;
1099080;EDGE-SEGMENT;301.59;
9J1306;CONJ.PERNO;52.75;
1770366;INSERTO;3.81;
2A6389;CONJ.ESCALON;227.07;
1851450;CONJ.SOPORTE;63.07;
2305571;BOMBAHIDRAUL;2837.06;
2221763;MAZACLASSIC;548.30;
2138188;NUCLEO-RADIADOR;886.56;
1716803;YOKEAS;1020.01;
1474812;CONJ.NUCLEO;754.68;
1390672;CONJ.PANELPUERTA;330.68;
5L4996;VEEBELT;20.08;
2501987;CONJ.ESPACIADOR;35.12;
1908977;BOMBATRANSFCOMB;376.30;
2465935;JGOSELLOS;259.50;
1906123;ABRAZADERA;31.76;
1906124;ABRAZADERA;29.44;
1908318;UNION;193.01;
7I5093;CLAMP;209.02;
9R3051;ROD;3.50;
10R2296;BOMBAACEITE;342.34;
2364680;MANGUERAARM;556.72;
2450594;JGO.SELLOH.C;201.58;
2275348;JGO.SELLOCILINDRO;107.83;
2460653;JGO.SELLOH.C;172.20;
2396013;CONJ.TANQUETOPE;10593.17;
9F2947;CLIP;3.34;
9C6530;CONJ.JGOCABLES;280.31;
2169786;CONJ.INYECTOR;159.31;
1158390;GLASS;238.07;
6V9023;TUBOTERMOCONTRAIB;.06;
9N4103;TAPON;6.65;
1781781;GRAPA;12.75;
1863075;SELLOANILLO;22.38;
2406849;CONJ.SOPORTE;97.22;
2032288;EMPAQUETADURATAPA;12.87;
0R9898;GPO.-TURBO;2620.39;
2338485;ABRAZADERA;9.32;
2338482;ABRAZADERA;8.93;
2338484;ABRAZADERA;9.05;
2313264;ABRAZADERA;9.59;
2402651;ABRAZADERA;8.68;
2245122;EMPAQUETADURA;89.80;
1583026;ANILLORESPALDO;26.78;
9X6767;INDICATORA;39.13;
1419813;CONJ.MANGUERA;9.09;
2406848;MANGUERAARM;221.39;
2406851;SOPORTE;42.52;
1992176;EMPAQUETADURA;56.23;
1535936;GOLILLA;3.79;
6L7139;RESORTE;5.27;
4H6716;WASHER;.45;
8X3540;BLOQUE;35.99;
2400205;EMPAQUET.CULATA;88.35;
9U0126;TAPA;33.18;
1672141;PARADAPUERTA;12.48;
1527931;PUERTA;59.32;
1527933;TAPA;127.50;
1588581;CONJ.BISAGRA;26.59;
2486740;JGO.EMPAQUETADURA;456.23;
8X4294;STRIP;12.15;
2203373;ANILLO;20.55;
0930106;ESPACIADOR;33.73;
1510653;LAINA;12.35;
2012771;GOLILLA;13.48;
1332427;SHIM;7.71;
0930074;ESPACIADOR;21.92;
1473957;LAINA;12.36;
6V7345;TORNILLO;.82;
2023503;SOPORTE;95.34;
2077010;CONJ.MONTAJE;3171.73;
1911782;ESPACIADOR;12.91;
2054755;CONJ.SOPORTE;203.99;
2054756;SOPORTE;37.37;
2054761;TAPABLOQUE;15.40;
2054764;PLACA;206.87;
1874599;SUPPORT;659.34;
1907543;SOPORTE;19.68;
1969152;CONJ.TUBO;588.71;
2054754;CONJ.TUBO;98.83;
2054770;TAPA;215.27;
2054771;SOPORTE;57.08;
2054772;ABRAZADERA;87.70;
2095227;CONJ.TUBO;794.46;
2136543;TUBO;320.68;
2136544;TUBO;374.24;
10R1279;INYECTORCOMBUST.;832.07;
8X3938;VIDRIODERECHO;172.73;
4B9029;PIPE;16.60;
4B9030;ELBOW;16.86;
1542790;CONJ.JGOCABLES;157.54;
7I6618;TAPA;47.97;
1141399;TUBO;102.78;
7W0408;CHARGER;2323.25;
1035820;BONNETEXCH;53.77;
1908970;CONJ.BASE;345.67;
2319483;BASE;742.46;
5G1274;GASKET;1.76;
2050640;TUERCA;14.88;
1139960;CONJ.PROTECCION;435.54;
6G3361;ALEROPOLVO;390.37;
1298145;CONJ.MANGUERA;200.00;
1186753;CABLEAS;66.65;
1873298;GUIASUSPENSION;149.41;
8X5411;TUBOESPEJO;288.44;
5P8441;GROMMET;4.99;
7T3343;PLATE;153.73;
0R7423;GPO.CARTUCHOREP;917.12;
1125060;BRACKETAS;1658.45;
1298169;TRUNNION;1119.85;
1210424;CONJ.PUERTA;921.05;
1213994;PLATE;14.44;
2V0447;BEARING;90.37;
2339205;JGO.SELLOH.C;96.62;
2390583;EMPAQUETADURA;10.63;
4I6605;SHIM;21.16;
4I6604;SHIM;11.89;
1509068;CONJ.PLACA;66.12;
1754921;BUJEBLOQUE;10.28;
1529859;TAPA;3.31;
1888636;INSERTOESCAPE;6.37;
1888637;ADMISIONINSERTO;6.85;
2337654;EMPAQUETADURA;9.85;
8T8987;ELBOW;36.66;
1745415;ABRAZADERA;36.60;
2257000;CINTAXMTS.;25.71;
1869648;ACTUADORCONJUNTO;14.45;
2186191;CONJ.TUBO;32.04;
1583770;JGO.PALANCA;67.48;
1730702;CUBIERTAGOMA;61.43;
6Y0935;LINK;30.23;
1983137;PASADORHORQUILLA;5.61;
9W8728;TECHOINTERIOR;567.05;
2429536;CONJ.BLINDAJEE;420.68;
1250803;TIPBUCKET;1520.75;
2289130;ELEMENTOF.COMBUST;26.05;
2P7418;ABRAZADERA;53.07;
2309554;CONJ.BLINDAJE;154.53;
5P5580;RING;28.79;
2U5388;SEALVRING;9.32;
1N4556;BELT;25.13;
1740221;PERNOCADENA;6.97;
1740222;TUERCACADENA;2.78;
5P7154;TEE;60.76;
1965052;GRAPA2PIECE;15.31;
2497174;JGO.SELLO;698.29;
1934076;CYLG;49233.40;
2253145;GR.ALTERNADOR;210.34;
8E1009;MANGUERA;126.93;
2255437;CONJ.PISTONBS;153.49;
2255439;PERNO;6.71;
2321794;MANGUERA;6.87;
2351790;INTERRUPTOR;36.13;
0R4316;MOTORPARTIDA;399.22;
2374894;INTERRUPTORACEITE;21.29;
2358747;AGUAINTERRUPTORT;46.28;
2373786;GPO.TURBO;1555.23;
1930618;CONJ.MANTENIMIENTO;67.43;
2067514;FILTRO;4.05;
8G2943;SEAL;18.56;
9G3106;RING;2.35;
1335915;ELBOW;242.05;
5P6073;ELBOW;10.73;
6K0697;BOLT;58.99;
1800047;JGO.TAPA;64.31;
1611838;MANGUERAINXT6;2.96;
2186119;GR.VALVULABAS;773.35;
2289596;CONJ.BALANCIN;1262.79;
2310167;ELEMENTOF.AIRE;25.35;
2310168;AIREELEMENTOFILT;19.14;
3R5862;BUTTON;37.10;
1901131;CONJ.INTERRUPTOR;74.98;
1258176;LEVACERROJO;5.29;
1677801;CONJ.RESISTENCIA;29.05;
1920836;INTERRUPTOR;72.34;
2208169;SELLOANILLO;1.97;
2119061;CONJ.MONTAJE;24.83;
1599853;GROMMET;21.67;
1586696;TAPA;18.18;
2409524;MANGUERAARM;332.58;
2247262;SELLOANILLO;1.33;
1631863;TUBE;565.43;
1193851;SEGUROCAJATRANSF;23.78;
1901668;UNION;4.08;
1V2374;ESPACIADOR;10.07;
8G0871;MANILLA;18.04;
1420406;BRACKETAS;175.78;
1770364;RODILLO;8.12;
7X1851;CABLEASADP;132.98;
0931571;ANILLOAPRESION;6.18;
1428620;CONJ.VENTILADOR;47.95;
1900642;TENSOR;199.24;
7E6017;COVER;40.84;
8C4895;SEAL;8.55;
2291091;RODAMIENTOMANGA;92.04;
7T1635;CUCHILLADECORTE;32.64;
8T7520;TEE;46.73;
2043692;JGO.SELLO;300.06;
6V9156;ESPEJO;160.95;
2320247;ENGRANAJEMANDO;281.54;
1726942;SOPORTE;22.97;
1305301;GRAPA;14.92;
1139122;PERNOEMPALME;4.74;
1403558;BODYAS;560.69;
2338483;ABRAZADERA;8.93;
1521012;ADAPTER;1667.63;
1537501;BRACKET;86.31;
1537502;COUPLING-TUR;512.84;
2102583;ADAPTER;263.20;
6T2723;BRACKET;9.76;
1155697;CONJ.JGOCABLES;86.11;
2071758;CONJ.JGOCABLES;474.50;
0R7430;TURBO;4806.73;
2239743;SELLOBORDETYP;67.03;
1029550;PLATEA;24.12;
8T1742;RETENANILLO;35.31;
1961185;GR.SENSORSP;118.64;
1427517;CONJ.CABLE;44.72;
2429537;SELLO;38.59;
2128578;EMPAQUETADURA;5.93;
2388363;SELLO;30.27;
2431159;TENSOR;6.00;
1671269;RESORTE;17.74;
1439722;PUMPGP;4479.06;
0966142;TAPAFUSIBLE;19.62;
5T4039;TUBOMETALICO;134.63;
2432076;GOLILLAHARD;3.75;
2445447;CONJ.BOMBA;2366.64;
6V0395;BOLT;3.21;
5P9228;GASKETKIT;46.88;
5P9232;GASKETKIT;35.82;
6V6360;KITGASKET;92.56;
4F5003;SPRINGA;12.91;
8T3725;ACOPLE;15.04;
8T3985;KNOB-BALL;4.34;
9T2969;REBORDE;28.80;
7T6485;MANGUERAARM;137.60;
1711150;CALCOMANIABANDA;15.03;
1417390;BANDAMTG;20.38;
5P9770;MANGUERASTKCM.;.07;
0813121;GUIA;15.32;
1440274;BEARINGGP;177.01;
1717580;SELLOBORDE;.48;
1631317;CONJ.PLACA;19.25;
